assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
104057562,22724718,Asthenes usheri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Asthenes,usheri,,,,"Morrison, 1947",Vulnerable,C2a(ii),3.1,Decreasing,Global
104057753,103673286,Asthenes huancavelicae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Asthenes,huancavelicae,,,,"Morrison, 1938",Near Threatened,C2a(i),3.1,Decreasing,Global
104062056,22728535,Laniisoma buckleyi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Laniisoma,buckleyi,,,,"(Sclater &amp; Salvin, 1880)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
104067231,22704697,Gerygone hypoxantha,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ACANTHIZIDAE,Gerygone,hypoxantha,,,,"Salvadori, 1878",Vulnerable,C2a(ii),3.1,Decreasing,Global
104072663,103694114,Pericrocotus albifrons,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CAMPEPHAGIDAE,Pericrocotus,albifrons,,,,"Jerdon, 1862",Near Threatened,A2c,3.1,Decreasing,Global
104073869,103694489,Ceblepyris cucullatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CAMPEPHAGIDAE,Ceblepyris,cucullatus,,,,"(Milne-Edwards &amp; Oustalet, 1885)",Vulnerable,C2a(i),3.1,Decreasing,Global
104074332,103702904,Lalage conjuncta,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CAMPEPHAGIDAE,Lalage,conjuncta,,,,"Rothschild &amp; Hartert, 1924",Vulnerable,C2a(ii),3.1,Decreasing,Global
104074965,103703653,Cyanolanius comorensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Cyanolanius,comorensis,,,,"(Shelley, 1894)",Endangered,B1ab(iii),3.1,Unknown,Global
104089765,103714645,Symposiachrus ateralbus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MONARCHIDAE,Symposiachrus,ateralbus,,,,"(Salomonsen, 1964)",Vulnerable,C2a(ii),3.1,Decreasing,Global
104089936,103713884,Symposiachrus malaitae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MONARCHIDAE,Symposiachrus,malaitae,,,,"(Mayr, 1931)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
104096516,103719397,Urocissa xanthomelana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Urocissa,xanthomelana,,,,"(Delacour, 1927)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
104113726,103734886,Petroica dannefaerdi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PETROICIDAE,Petroica,dannefaerdi,,,,"(Rothschild, 1894)",Vulnerable,D1+2,3.1,Stable,Global
104114471,103735485,Monachella coultasi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PETROICIDAE,Monachella,coultasi,,,,"Mayr, 1934",Near Threatened,D1,3.1,Stable,Global
104138249,103823501,Hypsipetes catarmanensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PYCNONOTIDAE,Hypsipetes,catarmanensis,,,,"(Rand &amp; Rabor, 1969)",Near Threatened,D1,3.1,Stable,Global
104138679,103823597,Hypsipetes haynaldi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PYCNONOTIDAE,Hypsipetes,haynaldi,,,,"(Blasius, 1890)",Near Threatened,C2a(i),3.1,Decreasing,Global
104139117,103823979,Hypsipetes moheliensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PYCNONOTIDAE,Hypsipetes,moheliensis,,,,"(Benson, 1960)",Endangered,"B1ab(ii,iii,v); C2a(ii)",3.1,Decreasing,Global
104147410,103866023,Phylloscopus maforensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,maforensis,,,,"Meyer, 1874",Vulnerable,C2a(ii),3.1,Decreasing,Global
104147589,103866018,Phylloscopus misoriensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,misoriensis,,,,"Meise, 1931",Vulnerable,C2a(ii),3.1,Decreasing,Global
104155917,103798418,Poodytes caudatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Poodytes,caudatus,,,,"(Buller, 1894)",Vulnerable,D2,3.1,Stable,Global
104161256,22714043,Zosterops saypani,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,saypani,,,,"Dubois, 1902",Endangered,A3e+4e; B1ab(v),3.1,Decreasing,Global
104162116,103894733,Mixornis prillwitzi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TIMALIIDAE,Mixornis,prillwitzi,,,,"E. Hartert, 1901",Vulnerable,C2a(i),3.1,Decreasing,Global
104191735,103878304,Rhabdornis rabori,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,STURNIDAE,Rhabdornis,rabori,,,,"Rand, 1950",Vulnerable,C2a(i),3.1,Decreasing,Global
104192133,103772009,Artisornis sousae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CISTICOLIDAE,Artisornis,sousae,,,,"(Benson, 1945)",Endangered,D,3.1,Stable,Global
104196313,103881097,Cichlopsis gularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Cichlopsis,gularis,,,,"Salvin &amp; Godman, 1882",Near Threatened,C2a(i),3.1,Decreasing,Global
104199872,103869689,Turdinus calcicola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PELLORNEIDAE,Turdinus,calcicola,,,,"(Deignan, 1939)",Vulnerable,C2a(ii),3.1,Decreasing,Global
104200264,103870218,Rimator naungmungensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PELLORNEIDAE,Rimator,naungmungensis,,,,"(Rappole et al., 2005)",Vulnerable,C2a(ii),3.1,Decreasing,Global
104200555,103870381,Graminicola striatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PELLORNEIDAE,Graminicola,striatus,,,,"Styan, 1892",Vulnerable,C2a(i),3.1,Decreasing,Global
104201421,103871272,Phyllanthus rubiginosus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Phyllanthus,rubiginosus,,,,"(Blyth, 1865)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
104203196,103872201,Garrulax monachus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Garrulax,monachus,,,,"Swinhoe, 1870",Near Threatened,B1b(i),3.1,Decreasing,Global
